model_name,sampling_strategy,val_accuracy,val_precision,val_recall,val_f1,val_pr_auc,val_balanced_accuracy,val_mcc
random_forest,smote,0.998,0.9979838709677419,1.0,0.9989909182643795,0.9999938812519209,0.9,0.8935250957719058
random_forest,adasyn,0.998,0.9979838709677419,1.0,0.9989909182643795,0.9999938812519209,0.9,0.8935250957719058
random_forest,smote_tomek,0.998,0.9979838709677419,1.0,0.9989909182643795,0.9999938812519209,0.9,0.8935250957719058
gradient_boosting,smote,0.998,0.9979838709677419,1.0,0.9989909182643795,0.9999846767921418,0.9,0.8935250957719058
gradient_boosting,smote_tomek,0.998,0.9979838709677419,1.0,0.9989909182643795,0.9999846767921418,0.9,0.8935250957719058
gradient_boosting,adasyn,0.998,0.9979838709677419,1.0,0.9989909182643795,0.9999815992918155,0.9,0.8935250957719058
knn,smote,0.997,0.9979818365287588,0.998989898989899,0.9984856133266027,0.9999817447940555,0.8994949494949496,0.8417842664950117
knn,smote_tomek,0.997,0.9979818365287588,0.998989898989899,0.9984856133266027,0.9999817447940555,0.8994949494949496,0.8417842664950117
knn,adasyn,0.997,0.9979818365287588,0.998989898989899,0.9984856133266027,0.9999797062450947,0.8994949494949496,0.8417842664950117
logistic_regression,smote,0.996,0.9959758551307847,1.0,0.9979838709677419,0.9999503025902556,0.8,0.7730365535202529
logistic_regression,smote_tomek,0.996,0.9959758551307847,1.0,0.9979838709677419,0.9999503025902556,0.8,0.7730365535202529
decision_tree,adasyn,0.996,0.9959758551307847,1.0,0.9979838709677419,0.9959758551307847,0.8,0.7730365535202529
logistic_regression,adasyn,0.996,0.9969758064516129,0.998989898989899,0.9979818365287588,0.999887977565032,0.8494949494949495,0.7807062705481803
decision_tree,smote,0.996,0.997979797979798,0.997979797979798,0.997979797979798,0.9979636771757984,0.898989898989899,0.797979797979798
decision_tree,smote_tomek,0.996,0.997979797979798,0.997979797979798,0.997979797979798,0.9979636771757984,0.898989898989899,0.797979797979798
random_forest,random_undersample,0.996,1.0,0.9959595959595959,0.9979757085020243,0.9999736559624576,0.997979797979798,0.8434451442741914
knn,random_undersample,0.996,1.0,0.9959595959595959,0.9979757085020243,0.9999595959595959,0.997979797979798,0.8434451442741914
logistic_regression,random_undersample,0.99,0.99,1.0,0.9949748743718593,0.9997758811055075,0.5,0.0
gradient_boosting,random_undersample,0.99,0.99,1.0,0.9949748743718593,0.9993232323232324,0.5,0.0
decision_tree,random_undersample,0.99,0.99,1.0,0.9949748743718593,0.9989393939393939,0.5,0.0
