model_name,sampling_strategy,delta_val_f1,delta_val_recall,delta_val_mcc
decision_tree,adasyn,4.072987943914974e-06,0.002020202020202033,-0.0249432444595451
knn,smote,3.064009455489014e-06,0.002020202020202033,-0.03394386877287314
knn,smote_tomek,3.064009455489014e-06,0.002020202020202033,-0.03394386877287314
knn,adasyn,3.064009455489014e-06,0.002020202020202033,-0.03394386877287314
random_forest,baseline,0.0,0.0,0.0
random_forest,smote,0.0,0.0,0.0
random_forest,adasyn,0.0,0.0,0.0
random_forest,smote_tomek,0.0,0.0,0.0
gradient_boosting,baseline,0.0,0.0,0.0
gradient_boosting,smote,0.0,0.0,0.0
gradient_boosting,smote_tomek,0.0,0.0,0.0
gradient_boosting,adasyn,0.0,0.0,0.0
logistic_regression,baseline,0.0,0.0,0.0
knn,baseline,0.0,0.0,0.0
decision_tree,baseline,0.0,0.0,0.0
decision_tree,smote,0.0,0.0,0.0
decision_tree,smote_tomek,0.0,0.0,0.0
knn,random_undersample,-0.0005068408151228665,-0.0010101010101010166,-0.03228299099369347
logistic_regression,smote,-0.0010060280221571016,0.0010101010101010166,-0.1259533454696461
logistic_regression,smote_tomek,-0.0010060280221571016,0.0010101010101010166,-0.1259533454696461
logistic_regression,adasyn,-0.0010080624611401579,0.0,-0.11828362844171869
random_forest,random_undersample,-0.0010152097623551404,-0.004040404040404066,-0.05007995149771438
decision_tree,random_undersample,-0.003004923607938692,0.002020202020202033,-0.797979797979798
logistic_regression,random_undersample,-0.004015024618039709,0.0010101010101010166,-0.898989898989899
gradient_boosting,random_undersample,-0.0040160438925201936,0.0,-0.8935250957719058
