dataset_name,model_name,sampling_strategy,before_counts,after_counts
cic_iomt_2024,logistic_regression,smote,"{'1': 2972, '0': 28}","{'1': 2972, '0': 2972}"
cic_iomt_2024,decision_tree,smote,"{'1': 2972, '0': 28}","{'1': 2972, '0': 2972}"
cic_iomt_2024,random_forest,smote,"{'1': 2972, '0': 28}","{'1': 2972, '0': 2972}"
cic_iomt_2024,knn,smote,"{'1': 2972, '0': 28}","{'1': 2972, '0': 2972}"
cic_iomt_2024,gradient_boosting,smote,"{'1': 2972, '0': 28}","{'1': 2972, '0': 2972}"
cic_iomt_2024,logistic_regression,adasyn,"{'1': 2972, '0': 28}","{'1': 2972, '0': 2971}"
cic_iomt_2024,decision_tree,adasyn,"{'1': 2972, '0': 28}","{'1': 2972, '0': 2971}"
cic_iomt_2024,random_forest,adasyn,"{'1': 2972, '0': 28}","{'1': 2972, '0': 2971}"
cic_iomt_2024,knn,adasyn,"{'1': 2972, '0': 28}","{'1': 2972, '0': 2971}"
cic_iomt_2024,gradient_boosting,adasyn,"{'1': 2972, '0': 28}","{'1': 2972, '0': 2971}"
cic_iomt_2024,logistic_regression,random_undersample,"{'1': 2972, '0': 28}","{'0': 28, '1': 28}"
cic_iomt_2024,decision_tree,random_undersample,"{'1': 2972, '0': 28}","{'0': 28, '1': 28}"
cic_iomt_2024,random_forest,random_undersample,"{'1': 2972, '0': 28}","{'0': 28, '1': 28}"
cic_iomt_2024,knn,random_undersample,"{'1': 2972, '0': 28}","{'0': 28, '1': 28}"
cic_iomt_2024,gradient_boosting,random_undersample,"{'1': 2972, '0': 28}","{'0': 28, '1': 28}"
cic_iomt_2024,logistic_regression,smote_tomek,"{'1': 2972, '0': 28}","{'1': 2972, '0': 2972}"
cic_iomt_2024,decision_tree,smote_tomek,"{'1': 2972, '0': 28}","{'1': 2972, '0': 2972}"
cic_iomt_2024,random_forest,smote_tomek,"{'1': 2972, '0': 28}","{'1': 2972, '0': 2972}"
cic_iomt_2024,knn,smote_tomek,"{'1': 2972, '0': 28}","{'1': 2972, '0': 2972}"
cic_iomt_2024,gradient_boosting,smote_tomek,"{'1': 2972, '0': 28}","{'1': 2972, '0': 2972}"
