dataset,technique,algorithm,accuracy,f1_score,recall,precision
cic_iomt_2024,adasyn,random_forest,0.998,0.9989909182643795,1.0,0.9979838709677419
cic_iomt_2024,adasyn,gradient_boosting,0.998,0.9989909182643795,1.0,0.9979838709677419
cic_iomt_2024,adasyn,knn,0.997,0.9984856133266027,0.998989898989899,0.9979818365287588
cic_iomt_2024,adasyn,decision_tree,0.996,0.9979838709677419,1.0,0.9959758551307847
cic_iomt_2024,adasyn,logistic_regression,0.996,0.9979818365287588,0.998989898989899,0.9969758064516129
cic_iomt_2024,random_undersample,random_forest,0.996,0.9979757085020243,0.9959595959595959,1.0
cic_iomt_2024,random_undersample,knn,0.996,0.9979757085020243,0.9959595959595959,1.0
cic_iomt_2024,random_undersample,logistic_regression,0.99,0.9949748743718593,1.0,0.99
cic_iomt_2024,random_undersample,gradient_boosting,0.99,0.9949748743718593,1.0,0.99
cic_iomt_2024,random_undersample,decision_tree,0.99,0.9949748743718593,1.0,0.99
cic_iomt_2024,smote,random_forest,0.998,0.9989909182643795,1.0,0.9979838709677419
cic_iomt_2024,smote,gradient_boosting,0.998,0.9989909182643795,1.0,0.9979838709677419
cic_iomt_2024,smote,knn,0.997,0.9984856133266027,0.998989898989899,0.9979818365287588
cic_iomt_2024,smote,logistic_regression,0.996,0.9979838709677419,1.0,0.9959758551307847
cic_iomt_2024,smote,decision_tree,0.996,0.997979797979798,0.997979797979798,0.997979797979798
cic_iomt_2024,smote_tomek,random_forest,0.998,0.9989909182643795,1.0,0.9979838709677419
cic_iomt_2024,smote_tomek,gradient_boosting,0.998,0.9989909182643795,1.0,0.9979838709677419
cic_iomt_2024,smote_tomek,knn,0.997,0.9984856133266027,0.998989898989899,0.9979818365287588
cic_iomt_2024,smote_tomek,logistic_regression,0.996,0.9979838709677419,1.0,0.9959758551307847
cic_iomt_2024,smote_tomek,decision_tree,0.996,0.997979797979798,0.997979797979798,0.997979797979798
