model_name,sampling_strategy,val_accuracy,val_precision,val_recall,val_f1,val_pr_auc,val_balanced_accuracy,val_mcc
knn,adasyn,0.987,0.6666666666666666,0.96,0.7868852459016393,0.6534865900383141,0.9738461538461538,0.7942366073709629
random_forest,smote_tomek,0.988,0.7096774193548387,0.88,0.7857142857142857,0.7577641457671505,0.9353846153846154,0.7843910890458177
random_forest,smote,0.988,0.7096774193548387,0.88,0.7857142857142857,0.7023297550567137,0.9353846153846154,0.7843910890458177
random_forest,adasyn,0.988,0.7096774193548387,0.88,0.7857142857142857,0.6918868347419894,0.9353846153846154,0.7843910890458177
gradient_boosting,smote,0.988,0.7407407407407407,0.8,0.7692307692307693,0.7225069989629525,0.8964102564102565,0.7636755532203723
knn,smote,0.985,0.6388888888888888,0.92,0.7540983606557377,0.6465077717551481,0.9533333333333334,0.7598540702553368
knn,smote_tomek,0.985,0.6388888888888888,0.92,0.7540983606557377,0.6465077717551481,0.9533333333333334,0.7598540702553368
gradient_boosting,adasyn,0.986,0.6774193548387096,0.84,0.75,0.690016706024661,0.9148717948717948,0.7474350895619157
gradient_boosting,smote_tomek,0.986,0.6774193548387096,0.84,0.75,0.6639516911302533,0.9148717948717948,0.7474350895619157
decision_tree,smote,0.987,0.7307692307692307,0.76,0.7450980392156863,0.5613846153846154,0.8764102564102565,0.7385801033304076
decision_tree,smote_tomek,0.986,0.7037037037037037,0.76,0.7307692307692307,0.5408148148148149,0.8758974358974358,0.7241580601688653
logistic_regression,smote,0.987,0.7727272727272727,0.68,0.723404255319149,0.6422707756116042,0.8374358974358975,0.7183115047191633
logistic_regression,adasyn,0.983,0.6111111111111112,0.88,0.7213114754098361,0.6317183994584374,0.9328205128205128,0.7254715331397107
logistic_regression,smote_tomek,0.983,0.6111111111111112,0.88,0.7213114754098361,0.6249400056450669,0.9328205128205128,0.7254715331397107
random_forest,random_undersample,0.984,0.6551724137931034,0.76,0.7037037037037037,0.7520922320259041,0.8748717948717949,0.6975517932736637
decision_tree,adasyn,0.985,0.7083333333333334,0.68,0.6938775510204082,0.48966666666666675,0.8364102564102565,0.6863426799674947
gradient_boosting,random_undersample,0.979,0.55,0.88,0.676923076923077,0.5950321246659356,0.9307692307692308,0.6864064729836441
decision_tree,random_undersample,0.97,0.45098039215686275,0.92,0.6052631578947368,0.41690196078431374,0.9456410256410257,0.6325127417863848
logistic_regression,random_undersample,0.965,0.4074074074074074,0.88,0.5569620253164557,0.3709003539743471,0.9235897435897436,0.5852013181552654
knn,random_undersample,0.968,0.4186046511627907,0.72,0.5294117647058824,0.38716626570435714,0.8471794871794871,0.5343996542614251
