dataset_name,model_name,sampling_strategy,before_counts,after_counts
cic_unsw,logistic_regression,smote,"{'0': 2923, '1': 77}","{'0': 2923, '1': 2923}"
cic_unsw,decision_tree,smote,"{'0': 2923, '1': 77}","{'0': 2923, '1': 2923}"
cic_unsw,random_forest,smote,"{'0': 2923, '1': 77}","{'0': 2923, '1': 2923}"
cic_unsw,knn,smote,"{'0': 2923, '1': 77}","{'0': 2923, '1': 2923}"
cic_unsw,gradient_boosting,smote,"{'0': 2923, '1': 77}","{'0': 2923, '1': 2923}"
cic_unsw,logistic_regression,adasyn,"{'0': 2923, '1': 77}","{'0': 2923, '1': 2905}"
cic_unsw,decision_tree,adasyn,"{'0': 2923, '1': 77}","{'0': 2923, '1': 2928}"
cic_unsw,random_forest,adasyn,"{'0': 2923, '1': 77}","{'0': 2923, '1': 2928}"
cic_unsw,knn,adasyn,"{'0': 2923, '1': 77}","{'0': 2923, '1': 2905}"
cic_unsw,gradient_boosting,adasyn,"{'0': 2923, '1': 77}","{'0': 2923, '1': 2928}"
cic_unsw,logistic_regression,random_undersample,"{'0': 2923, '1': 77}","{'0': 77, '1': 77}"
cic_unsw,decision_tree,random_undersample,"{'0': 2923, '1': 77}","{'0': 77, '1': 77}"
cic_unsw,random_forest,random_undersample,"{'0': 2923, '1': 77}","{'0': 77, '1': 77}"
cic_unsw,knn,random_undersample,"{'0': 2923, '1': 77}","{'0': 77, '1': 77}"
cic_unsw,gradient_boosting,random_undersample,"{'0': 2923, '1': 77}","{'0': 77, '1': 77}"
cic_unsw,logistic_regression,smote_tomek,"{'0': 2923, '1': 77}","{'0': 2920, '1': 2920}"
cic_unsw,decision_tree,smote_tomek,"{'0': 2923, '1': 77}","{'0': 2917, '1': 2917}"
cic_unsw,random_forest,smote_tomek,"{'0': 2923, '1': 77}","{'0': 2917, '1': 2917}"
cic_unsw,knn,smote_tomek,"{'0': 2923, '1': 77}","{'0': 2920, '1': 2920}"
cic_unsw,gradient_boosting,smote_tomek,"{'0': 2923, '1': 77}","{'0': 2917, '1': 2917}"
