dataset,technique,algorithm,accuracy,f1_score,recall,precision
cic_unsw,adasyn,knn,0.987,0.7868852459016393,0.96,0.6666666666666666
cic_unsw,adasyn,random_forest,0.988,0.7857142857142857,0.88,0.7096774193548387
cic_unsw,adasyn,gradient_boosting,0.986,0.75,0.84,0.6774193548387096
cic_unsw,adasyn,logistic_regression,0.983,0.7213114754098361,0.88,0.6111111111111112
cic_unsw,adasyn,decision_tree,0.985,0.6938775510204082,0.68,0.7083333333333334
cic_unsw,random_undersample,random_forest,0.984,0.7037037037037037,0.76,0.6551724137931034
cic_unsw,random_undersample,gradient_boosting,0.979,0.676923076923077,0.88,0.55
cic_unsw,random_undersample,decision_tree,0.97,0.6052631578947368,0.92,0.45098039215686275
cic_unsw,random_undersample,logistic_regression,0.965,0.5569620253164557,0.88,0.4074074074074074
cic_unsw,random_undersample,knn,0.968,0.5294117647058824,0.72,0.4186046511627907
cic_unsw,smote,random_forest,0.988,0.7857142857142857,0.88,0.7096774193548387
cic_unsw,smote,gradient_boosting,0.988,0.7692307692307693,0.8,0.7407407407407407
cic_unsw,smote,knn,0.985,0.7540983606557377,0.92,0.6388888888888888
cic_unsw,smote,decision_tree,0.987,0.7450980392156863,0.76,0.7307692307692307
cic_unsw,smote,logistic_regression,0.987,0.723404255319149,0.68,0.7727272727272727
cic_unsw,smote_tomek,random_forest,0.988,0.7857142857142857,0.88,0.7096774193548387
cic_unsw,smote_tomek,knn,0.985,0.7540983606557377,0.92,0.6388888888888888
cic_unsw,smote_tomek,gradient_boosting,0.986,0.75,0.84,0.6774193548387096
cic_unsw,smote_tomek,decision_tree,0.986,0.7307692307692307,0.76,0.7037037037037037
cic_unsw,smote_tomek,logistic_regression,0.983,0.7213114754098361,0.88,0.6111111111111112
