dataset,algorithm,accuracy,f1_score,recall,precision
cic_unsw,random_forest,0.988,0.7857142857142857,0.88,0.7096774193548387
cic_unsw,gradient_boosting,0.983,0.7213114754098361,0.88,0.6111111111111112
cic_unsw,logistic_regression,0.983,0.7213114754098361,0.88,0.6111111111111112
cic_unsw,knn,0.979,0.6956521739130435,0.96,0.5454545454545454
cic_unsw,decision_tree,0.979,0.5116279069767442,0.44,0.6111111111111112
cic_iomt_2024,random_forest,0.998,0.9989909182643795,1.0,0.9979838709677419
cic_iomt_2024,gradient_boosting,0.998,0.9989909182643795,1.0,0.9979838709677419
cic_iomt_2024,logistic_regression,0.998,0.998989898989899,0.998989898989899,0.998989898989899
cic_iomt_2024,knn,0.997,0.9984825493171472,0.996969696969697,1.0
cic_iomt_2024,decision_tree,0.996,0.997979797979798,0.997979797979798,0.997979797979798
